TLD,WHOIS,TYPE,NATIVE,MANAGER
tienda,whois.donuts.co,generic,tienda,"Binky Moon, LLC"
tiffany,whois.nic.tiffany,generic,tiffany,Tiffany and Company
tips,whois.donuts.co,generic,tips,"Binky Moon, LLC"
tires,whois.donuts.co,generic,tires,"Binky Moon, LLC"
tirol,whois.nic.tirol,generic,tirol,punkt Tirol GmbH
tj,,country-code,tj,Information Technology Center
tjmaxx,whois.nic.tjmaxx,generic,tjmaxx,"The TJX Companies, Inc."
tjx,whois.nic.tjx,generic,tjx,"The TJX Companies, Inc."
tk,whois.dot.tk,country-code,tk,Telecommunication Tokelau Corporation (Teletok)
tkmaxx,whois.nic.tkmaxx,generic,tkmaxx,"The TJX Companies, Inc."
tl,whois.nic.tl,country-code,tl,Autoridade Nacional de Comunicações
tm,whois.nic.tm,country-code,tm,TM Domain Registry Ltd
tmall,whois.nic.tmall,generic,tmall,Alibaba Group Holding Limited
tn,whois.ati.tn,country-code,tn,Agence Tunisienne d'Internet
to,whois.tonic.to,country-code,to,Government of the Kingdom of Tonga H.R.H. Crown Prince Tupouto'a c/o Consulate of Tonga
today,whois.donuts.co,generic,today,"Binky Moon, LLC"
tokyo,whois.nic.tokyo,generic,tokyo,"GMO Registry, Inc."
tools,whois.donuts.co,generic,tools,"Binky Moon, LLC"
top,whois.nic.top,generic,top,"Jiangsu Bangning Science & Technology Co.,Ltd."
toray,whois.nic.toray,generic,toray,"Toray Industries, Inc."
toshiba,whois.nic.toshiba,generic,toshiba,TOSHIBA Corporation
total,whois.nic.total,generic,total,Total SA
tours,whois.donuts.co,generic,tours,"Binky Moon, LLC"
town,whois.donuts.co,generic,town,"Binky Moon, LLC"
toyota,whois.nic.toyota,generic,toyota,TOYOTA MOTOR CORPORATION
toys,whois.donuts.co,generic,toys,"Binky Moon, LLC"
tp,,country-code,tp,Retired
tr,whois.nic.tr,country-code,tr,Middle East Technical University Department of Computer Engineering
trade,whois.nic.trade,generic,trade,Elite Registry Limited
trading,whois.nic.trading,generic,trading,DOTTRADING REGISTRY LTD
training,whois.donuts.co,generic,training,"Binky Moon, LLC"
travel,whois.donuts.co,sponsored,travel,"Dog Beach, LLC"
travelchannel,whois.nic.travelchannel,generic,travelchannel,"Lifestyle Domain Holdings, Inc."
travelers,whois.nic.travelers,generic,travelers,"Travelers TLD, LLC"
travelersinsurance,whois.nic.travelersinsurance,generic,travelersinsurance,"Travelers TLD, LLC"
trust,whois.nic.trust,generic,trust,Artemis Internet Inc
trv,whois.nic.trv,generic,trv,"Travelers TLD, LLC"
tt,,country-code,tt,University of the West Indies Faculty of Engineering
tube,whois.nic.tube,generic,tube,Latin American Telecom LLC
tui,whois.nic.tui,generic,tui,TUI AG
tunes,whois.nic.tunes,generic,tunes,"Amazon Registry Services, Inc."
tushu,whois.nic.tushu,generic,tushu,"Amazon Registry Services, Inc."
tv,tvwhois.verisign-grs.com,country-code,tv,Ministry of Finance and Tourism
tvs,whois.nic.tvs,generic,tvs,T V SUNDRAM IYENGAR & SONS PRIVATE LIMITED
tw,whois.twnic.net.tw,country-code,tw,Taiwan Network Information Center (TWNIC)
tz,whois.tznic.or.tz,country-code,tz,Tanzania Network Information Centre (tzNIC)
ua,whois.ua,country-code,ua,Hostmaster Ltd.
ubank,whois.nic.ubank,generic,ubank,National Australia Bank Limited
ubs,whois.nic.ubs,generic,ubs,UBS AG
uconnect,whois.nic.uconnect,generic,uconnect,FCA US LLC.
ug,whois.co.ug,country-code,ug,Uganda Online Ltd.
uk,whois.nic.uk,country-code,uk,Nominet UK
um,,country-code,um,Not assigned
unicom,whois.nic.unicom,generic,unicom,China United Network Communications Corporation Limited
university,whois.donuts.co,generic,university,"Binky Moon, LLC"
uno,whois.nic.uno,generic,uno,Dot Latin LLC
uol,whois.nic.uol,generic,uol,UBN INTERNET LTDA.
ups,whois.nic.ups,generic,ups,"UPS Market Driver, Inc."
us,whois.nic.us,country-code,us,"NeuStar, Inc."
uy,whois.nic.org.uy,country-code,uy,SeCIU - Universidad de la Republica
uz,whois.cctld.uz,country-code,uz,Computerization and Information Technologies Developing Center UZINFOCOM
va,,country-code,va,Holy See - Vatican City State
vacations,whois.donuts.co,generic,vacations,"Binky Moon, LLC"
vana,whois.nic.vana,generic,vana,"Lifestyle Domain Holdings, Inc."
vanguard,whois.nic.vanguard,generic,vanguard,"The Vanguard Group, Inc."
vc,whois2.afilias-grs.net,country-code,vc,"Ministry of Telecommunications, Science, Technology and Industry"
ve,whois.nic.ve,country-code,ve,Comisión Nacional de Telecomunicaciones (CONATEL)
vegas,whois.nic.vegas,generic,vegas,"Dot Vegas, Inc."
ventures,whois.donuts.co,generic,ventures,"Binky Moon, LLC"
verisign,whois.nic.verisign,generic,verisign,"VeriSign, Inc."
vermögensberater,,generic,vermögensberater,Deutsche Vermögensberatung Aktiengesellschaft DVAG
vermögensberatung,,generic,vermögensberatung,Deutsche Vermögensberatung Aktiengesellschaft DVAG
versicherung,whois.nic.versicherung,generic,versicherung,TLD-BOX Registrydienstleistungen GmbH
vet,whois.donuts.co,generic,vet,"United TLD Holdco, Ltd"
vg,whois.nic.vg,country-code,vg,Telecommunications Regulatory Commission of the Virgin Islands
vi,,country-code,vi,"Virgin Islands Public Telecommunications System, Inc."
viajes,whois.donuts.co,generic,viajes,"Binky Moon, LLC"
video,whois.donuts.co,generic,video,"United TLD Holdco, Ltd"
vig,whois.nic.vig,generic,vig,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe
viking,whois.nic.viking,generic,viking,Viking River Cruises (Bermuda) Ltd.
villas,whois.donuts.co,generic,villas,"Binky Moon, LLC"
vin,whois.donuts.co,generic,vin,"Binky Moon, LLC"
vip,whois.nic.vip,generic,vip,Minds + Machines Group Limited
virgin,whois.nic.virgin,generic,virgin,Virgin Enterprises Limited
visa,whois.nic.visa,generic,visa,Visa Worldwide Pte. Limited
vision,whois.donuts.co,generic,vision,"Binky Moon, LLC"
vista,whois.nic.vista,generic,vista,Vistaprint Limited
vistaprint,whois.nic.vistaprint,generic,vistaprint,Vistaprint Limited
viva,whois.nic.viva,generic,viva,Saudi Telecom Company
vivo,whois.nic.vivo,generic,vivo,Telefonica Brasil S.A.
vlaanderen,whois.nic.vlaanderen,generic,vlaanderen,DNS.be vzw
vn,,country-code,vn,Ministry of Information and Communications of Socialist Republic of Viet Nam
vodka,whois.nic.vodka,generic,vodka,Top Level Domain Holdings Limited
volkswagen,whois.nic.volkswagen,generic,volkswagen,Volkswagen Group of America Inc.
volvo,whois.nic.volvo,generic,volvo,Volvo Holding Sverige Aktiebolag
vote,whois.nic.vote,generic,vote,Monolith Registry LLC
voting,whois.nic.voting,generic,voting,Valuetainment Corp.
voto,whois.nic.voto,generic,voto,Monolith Registry LLC
voyage,whois.donuts.co,generic,voyage,"Binky Moon, LLC"
vu,vunic.vu,country-code,vu,Telecom Vanuatu Limited
vuelos,whois.nic.vuelos,generic,vuelos,Travel Reservations SRL
wales,whois.nic.wales,generic,wales,Nominet UK
walmart,whois.nic.walmart,generic,walmart,"Wal-Mart Stores, Inc."
walter,whois.nic.walter,generic,walter,Sandvik AB
wang,whois.nic.wang,generic,wang,Zodiac Wang Limited
wanggou,whois.nic.wanggou,generic,wanggou,"Amazon Registry Services, Inc."
warman,whois.nic.warman,generic,warman,Weir Group IP Limited
watch,whois.donuts.co,generic,watch,"Binky Moon, LLC"
watches,whois.nic.watches,generic,watches,Richemont DNS Inc.
weather,whois.nic.weather,generic,weather,International Business Machines Corporation
weatherchannel,whois.nic.weatherchannel,generic,weatherchannel,International Business Machines Corporation
webcam,whois.nic.webcam,generic,webcam,dot Webcam Limited
weber,whois.nic.weber,generic,weber,Saint-Gobain Weber SA
website,whois.nic.website,generic,website,DotWebsite Inc.
wed,whois.nic.wed,generic,wed,Emergency Back-End Registry Operator Program - ICANN
wedding,whois.nic.wedding,generic,wedding,Top Level Domain Holdings Limited
weibo,whois.nic.weibo,generic,weibo,Sina Corporation
weir,whois.nic.weir,generic,weir,Weir Group IP Limited
wf,whois.nic.wf,country-code,wf,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
whoswho,whois.nic.whoswho,generic,whoswho,Who's Who Registry
wien,whois.nic.wien,generic,wien,punkt.wien GmbH
wiki,whois.nic.wiki,generic,wiki,"Top Level Design, LLC"
williamhill,whois.nic.williamhill,generic,williamhill,William Hill Organization Limited
win,whois.nic.win,generic,win,First Registry Limited
windows,whois.nic.windows,generic,windows,Microsoft Corporation
wine,whois.donuts.co,generic,wine,"Binky Moon, LLC"
winners,whois.nic.winners,generic,winners,"The TJX Companies, Inc."
wme,whois.nic.wme,generic,wme,"William Morris Endeavor Entertainment, LLC"
wolterskluwer,whois.nic.wolterskluwer,generic,wolterskluwer,Wolters Kluwer N.V.
woodside,whois.nic.woodside,generic,woodside,Woodside Petroleum Limited
work,whois.nic.work,generic,work,Top Level Domain Holdings Limited
works,whois.donuts.co,generic,works,"Binky Moon, LLC"
world,whois.donuts.co,generic,world,"Binky Moon, LLC"
wow,whois.nic.wow,generic,wow,"Amazon Registry Services, Inc."
ws,whois.website.ws,country-code,ws,Government of Samoa Ministry of Foreign Affairs & Trade
wtc,whois.nic.wtc,generic,wtc,"World Trade Centers Association, Inc."
wtf,whois.donuts.co,generic,wtf,"Binky Moon, LLC"
xbox,whois.nic.xbox,generic,xbox,Microsoft Corporation
xerox,whois.nic.xerox,generic,xerox,Xerox DNHC LLC
xfinity,whois.nic.xfinity,generic,xfinity,"Comcast IP Holdings I, LLC"
xihuan,whois.nic.xihuan,generic,xihuan,QIHOO 360 TECHNOLOGY CO. LTD.
xin,whois.nic.xin,generic,xin,Elegant Leader Limited
xperia,whois.nic.xperia,generic,xperia,Sony Mobile Communications AB
xxx,whois.nic.xxx,sponsored,xxx,ICM Registry LLC
xyz,whois.nic.xyz,generic,xyz,XYZ.COM LLC
yachts,whois.nic.yachts,generic,yachts,"DERYachts, LLC"
yahoo,whois.nic.yahoo,generic,yahoo,Yahoo! Domain Services Inc.
yamaxun,whois.nic.yamaxun,generic,yamaxun,"Amazon Registry Services, Inc."
yandex,whois.nic.yandex,generic,yandex,"YANDEX, LLC"
ye,,country-code,ye,TeleYemen
yodobashi,whois.nic.yodobashi,generic,yodobashi,"YODOBASHI CAMERA CO.,LTD."
yoga,whois.nic.yoga,generic,yoga,Top Level Domain Holdings Limited
yokohama,whois.nic.yokohama,generic,yokohama,"GMO Registry, Inc."
you,whois.nic.you,generic,you,"Amazon Registry Services, Inc."
youtube,whois.nic.youtube,generic,youtube,Charleston Road Registry Inc.
yt,whois.nic.yt,country-code,yt,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
yun,whois.nic.yun,generic,yun,QIHOO 360 TECHNOLOGY CO. LTD.
za,,country-code,za,ZA Domain Name Authority
zappos,whois.nic.zappos,generic,zappos,"Amazon Registry Services, Inc."
zara,whois.nic.zara,generic,zara,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
zero,whois.nic.zero,generic,zero,"Amazon Registry Services, Inc."
zip,whois.nic.zip,generic,zip,Charleston Road Registry Inc.
zippo,whois.nic.zippo,generic,zippo,Zadco Company
zm,whois.nic.zm,country-code,zm,Zambia Information and Communications Technology Authority (ZICTA)
zone,whois.donuts.co,generic,zone,"Binky Moon, LLC"
zuerich,whois.nic.zuerich,generic,zuerich,Kanton Zürich (Canton of Zurich)
zw,,country-code,zw,Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)
xn--jxalpdlp,,test,δοκιμή,Internet Assigned Numbers Authority
xn--qxam,,country-code,ελ,ICS-FORTH GR
xn--90ae,whois.imena.bg,country-code,бг,Imena.BG AD
xn--90ais,whois.cctld.by,country-code,бел,"Reliable Software, Ltd."
xn--d1acj3b,whois.nic.xn--d1acj3b,generic,дети,The Foundation for Network Initiatives “The Smart Internet”
xn--e1a4c,whois.eu,country-code,ею,EURid vzw/asbl
xn--80akhbyknj4f,,test,испытание,Internet Assigned Numbers Authority
xn--80aqecdr1a,whois.aridnrs.net.au,generic,католик,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
xn--j1aef,whois.nic.xn--j1aef,generic,ком,VeriSign Sarl
xn--80ao21a,whois.nic.kz,country-code,қаз,Association of IT Companies of Kazakhstan
xn--d1alf,whois.marnet.mk,country-code,мкд,Macedonian Academic Research Network Skopje
xn--l1acc,,country-code,мон,"Datacom Co.,Ltd"
xn--80adxhks,whois.nic.xn--80adxhks,generic,москва,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
xn--80asehdb,whois.online.rs.corenic.net,generic,онлайн,CORE Association
xn--c1avg,whois.publicinterestregistry.net,generic,орг,Public Interest Registry
xn--p1acf,whois.nic.xn--p1acf,generic,рус,Rusnames Limited
xn--p1ai,whois.tcinet.ru,country-code,рф,Coordination Center for TLD RU
xn--80aswg,whois.site.rs.corenic.net,generic,сайт,CORE Association
xn--90a3ac,whois.rnids.rs,country-code,срб,Serbian National Internet Domain Registry (RNIDS)
xn--j1amh,whois.dotukr.com,country-code,укр,"Ukrainian Network Information Centre (UANIC), Inc."
xn--node,whois.itdc.ge,country-code,გე,Information Technologies Development Center (ITDC)
xn--y9a3aq,whois.amnic.net,country-code,հայ,"""Internet Society"" Non-governmental Organization"
xn--deba0ad6164aba,,test,‏טעסט‎,Internet Assigned Numbers Authority
xn--9dbq2a464vba,,generic,‏קום‎,VeriSign Sarl
xn--hgbk6aj7f53bba2482cba,,test,‏آزمایشی‎,Internet Assigned Numbers Authority
xn--kgbechtv1647bba,,test,‏إختبار‎,Internet Assigned Numbers Authority
xn--mgbca7dzdo6827bba,,generic,‏ابوظبي‎,Abu Dhabi Systems and Information Centre
xn--mgbaakc7dvfs41vba,,generic,‏اتصالات‎,Emirates Telecommunications Corporation (trading as Etisalat)
xn--mgba3a3ejt0037bba,,generic,‏ارامكو‎,Aramco Services Company
xn--mgbayh7gpa4137bba,,country-code,‏الاردن‎,National Information Technology Center (NITC)
xn--lgbbat1ad8jn01uba,,country-code,‏الجزائر‎,CERIST
xn--mgberp4a5d4ar9740dba,,country-code,‏السعودية‎,Communications and Information Technology Commission
xn--mgba7c0bbn0a4883cba,,generic,‏العليان‎,Crescent Holding GmbH
xn--mgbc0a9azcg4237bba,,country-code,‏المغرب‎,Agence Nationale de Réglementation des Télécommunications (ANRT)
xn--mgbaam7a8h122rba,,country-code,‏امارات‎,Telecommunications Regulatory Authority (TRA)
xn--mgba3a4f16ap62jba,,country-code,‏ایران‎,Institute for Research in Fundamental Sciences (IPM)
xn--mgbbh1a0224aba,,country-code,‏بارت‎,National Internet eXchange of India
xn--mgbab2bd6380bba,,generic,‏بازار‎,CORE Association
xn--mgbbh1a71ej29iba,,country-code,‏بھارت‎,National Internet Exchange of India
xn--ngbe9e0a6904aba,,generic,‏بيتك‎,Kuwait Finance House
xn--mgbai9azgqp6jp70pba,,country-code,‏پاکستان‎,National Telecommunication Corporation
xn--mgbgu82an40iba,,country-code,‏ڀارت‎,National Internet eXchange of India
xn--pgbs0dh6014aba,,country-code,‏تونس‎,Agence Tunisienne d'Internet
xn--mgbpl2fh5070bba,,country-code,‏سودان‎,Sudan Internet Society
xn--ogbpf8fl1960bba,,country-code,‏سورية‎,National Agency for Network Services (NANS)
xn--ngbc5azdt55qba,,generic,‏شبكة‎,International Domain Registry Pty. Ltd.
xn--mgbtx2b025wba,,country-code,‏عراق‎,Communications and Media Commission (CMC)
xn--ngbrx865xba,,generic,‏عرب‎,League of Arab States
xn--mgb9awbf4114aba,,country-code,‏عمان‎,Telecommunications Regulatory Authority (TRA)
xn--ygbi2ammx7827bba,,country-code,‏فلسطين‎,Ministry of Telecom & Information Technology (MTIT)
xn--wgbl6a431tba,,country-code,‏قطر‎,Communications Regulatory Authority
xn--mgbi4ecexp3883cba,,generic,‏كاثوليك‎,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
xn--fhbei705xba,,generic,‏كوم‎,VeriSign Sarl
xn--wgbh1cv37oba,,country-code,‏مصر‎,National Telecommunication Regulatory Authority - NTRA
xn--mgbx4cd0ab7827bba,,country-code,‏مليسيا‎,MYNIC Berhad
xn--mgbb9fbpob2883cba,,generic,‏موبايلي‎,GreenTech Consultancy Company W.L.L.
xn--mgbah1a3hjkrd5707dba,,country-code,‏موريتانيا‎,Not assigned
xn--4gbrim6014aba,,generic,‏موقع‎,Suhub Electronic Establishment
xn--mgbt3dhd8070bba,,generic,‏همراه‎,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
xn--11b4c3d,whois.nic.xn--11b4c3d,generic,कॉम,VeriSign Sarl
xn--c2br7g,whois.nic.xn--c2br7g,generic,नेट,VeriSign Sarl
xn--11b5bs3a9aj6g,,test,परीक्षा,Internet Assigned Numbers Authority
xn--h2brj9c,,country-code,भारत,National Internet Exchange of India
xn--h2breg3eve,,country-code,भारतम्,National Internet eXchange of India
xn--h2brj9c8c,,country-code,भारोत,National Internet eXchange of India
xn--i1b6b1a6a2e,whois.publicinterestregistry.net,generic,संगठन,Public Interest Registry
xn--54b7fta0cc,,country-code,বাংলা,Posts and Telecommunications Division
xn--45brj9c,,country-code,ভারত,National Internet Exchange of India
xn--45br5cyl,,country-code,ভাৰত,National Internet eXchange of India
xn--s9brj9c,,country-code,ਭਾਰਤ,National Internet Exchange of India
xn--gecrj9c,,country-code,ભારત,National Internet Exchange of India
xn--3hcrj9c,,country-code,ଭାରତ,National Internet eXchange of India
xn--xkc2dl3a5ee0h,,country-code,இந்தியா,National Internet Exchange of India
xn--xkc2al3hye2a,,country-code,இலங்கை,LK Domain Registry
xn--clchc0ea0b2g2a9gcd,whois.sgnic.sg,country-code,சிங்கப்பூர்,Singapore Network Information Centre (SGNIC) Pte Ltd
xn--hlcj6aya9esc7a,,test,பரிட்சை,Internet Assigned Numbers Authority
xn--fpcrj9c3d,,country-code,భారత్,National Internet Exchange of India
xn--2scrj9c,,country-code,ಭಾರತ,National Internet eXchange of India
xn--rvc1e0am3e,,country-code,ഭാരതം,National Internet eXchange of India
xn--fzc2c9e2c,,country-code,ලංකා,LK Domain Registry
xn--42c2d9a,whois.nic.xn--42c2d9a,generic,คอม,VeriSign Sarl
xn--o3cw4h,whois.thnic.co.th,country-code,ไทย,Thai Network Information Center Foundation
xn--t60b56a,whois.nic.xn--t60b56a,generic,닷넷,VeriSign Sarl
xn--mk1bu44c,whois.nic.xn--mk1bu44c,generic,닷컴,VeriSign Sarl
xn--cg4bki,whois.kr,generic,삼성,"SAMSUNG SDS CO., LTD"
xn--9t4b11yi5a,,test,테스트,Internet Assigned Numbers Authority
xn--3e0b707e,whois.kr,country-code,한국,KISA (Korea Internet & Security Agency)
xn--qcka1pmc,whois.nic.google,generic,グーグル,Charleston Road Registry Inc.
xn--gckr3f0f,,generic,クラウド,"Amazon Registry Services, Inc."
xn--tckwe,whois.nic.xn--tckwe,generic,コム,VeriSign Sarl
xn--cck2b3b,,generic,ストア,"Amazon Registry Services, Inc."
xn--1ck2e1b,,generic,セール,"Amazon Registry Services, Inc."
xn--zckzah,,test,テスト,Internet Assigned Numbers Authority
xn--bck1b9a5dre4c,,generic,ファッション,"Amazon Registry Services, Inc."
xn--eckvdtc9d,,generic,ポイント,"Amazon Registry Services, Inc."
xn--q9jyb4c,whois.nic.google,generic,みんな,Charleston Road Registry Inc.
xn--rhqv96g,,generic,世界,Stable Tone Limited
xn--fiq64b,whois.gtld.knet.cn,generic,中信,CITIC Group Corporation
xn--fiqs8s,cwhois.cnnic.cn,country-code,中国,China Internet Network Information Center (CNNIC)
xn--fiqz9s,cwhois.cnnic.cn,country-code,中國,China Internet Network Information Center (CNNIC)
xn--fiq228c5hs,whois.teleinfo.cn,generic,中文网,TLD REGISTRY LIMITED
xn--vhquv,whois.nic.xn--vhquv,generic,企业,"Binky Moon, LLC"
xn--1qqw23a,whois.ngtld.cn,generic,佛山,"Guangzhou YU Wei Information Technology Co., Ltd."
xn--vuq861b,whois.teleinfo.cn,generic,信息,"Beijing Tele-info Network Technology Co., Ltd."
xn--nyqy26a,,generic,健康,Stable Tone Limited
xn--45q11c,whois.nic.xn--45q11c,generic,八卦,Zodiac Gemini Ltd
xn--55qx5d,whois.ngtld.cn,generic,公司,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
xn--55qw42g,whois.conac.cn,generic,公益,China Organizational Name Administration Center
xn--kprw13d,whois.twnic.net.tw,country-code,台湾,Taiwan Network Information Center (TWNIC)
xn--kpry57d,whois.twnic.net.tw,country-code,台灣,Taiwan Network Information Center (TWNIC)
xn--czru2d,whois.gtld.knet.cn,generic,商城,Zodiac Aquarius Limited
xn--czrs0t,whois.nic.xn--czrs0t,generic,商店,"Binky Moon, LLC"
xn--czr694b,,generic,商标,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED
xn--w4rs40l,whois.nic.xn--w4rs40l,generic,嘉里,Kerry Trading Co. Limited
xn--w4r85el8fhu5dnra,whois.nic.xn--w4r85el8fhu5dnra,generic,嘉里大酒店,Kerry Trading Co. Limited
xn--3ds443g,whois.teleinfo.cn,generic,在线,TLD REGISTRY LIMITED
xn--3oq18vl8pn36a,whois.nic.xn--3oq18vl8pn36a,generic,大众汽车,"Volkswagen (China) Investment Co., Ltd."
xn--pssy2u,whois.nic.xn--pssy2u,generic,大拿,VeriSign Sarl
xn--tiq49xqyj,whois.aridnrs.net.au,generic,天主教,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
xn--fjq720a,whois.nic.xn--fjq720a,generic,娱乐,"Binky Moon, LLC"
xn--fct429k,,generic,家電,"Amazon Registry Services, Inc."
xn--estv75g,whois.nic.xn--estv75g,generic,工行,Industrial and Commercial Bank of China Limited
xn--xhq521b,whois.ngtld.cn,generic,广东,"Guangzhou YU Wei Information Technology Co., Ltd."
xn--9krt00a,whois.nic.xn--9krt00a,generic,微博,Sina Corporation
xn--30rr7y,whois.gtld.knet.cn,generic,慈善,Excellent First Limited
xn--6qq986b3xl,whois.gtld.knet.cn,generic,我爱你,Tycoon Treasure Limited
xn--kput3i,whois.nic.xn--kput3i,generic,手机,"Beijing RITT-Net Technology Development Co., Ltd"
xn--kpu716f,,generic,手表,Richemont DNS Inc.
xn--otu796d,,generic,招聘,Dot Trademark TLD Holding Company Limited
xn--zfr164b,whois.conac.cn,generic,政务,China Organizational Name Administration Center
xn--mxtq1m,whois.nic.xn--mxtq1m,generic,政府,"Net-Chinese Co., Ltd."
xn--yfro4i67o,whois.sgnic.sg,country-code,新加坡,Singapore Network Information Centre (SGNIC) Pte Ltd
xn--efvy88h,whois.nic.xn--efvy88h,generic,新闻,"Guangzhou YU Wei Information and Technology Co.,Ltd"
xn--9et52u,whois.gtld.knet.cn,generic,时尚,RISE VICTORY LIMITED
xn--rovu88b,,generic,書籍,"Amazon Registry Services, Inc."
xn--nqv7f,whois.publicinterestregistry.net,generic,机构,Public Interest Registry
xn--0zwm56d,,test,测试,Internet Assigned Numbers Authority
xn--b4w605ferd,whois.afilias-srs.net,generic,淡马锡,Temasek Holdings (Private) Limited
xn--g6w251d,,test,測試,Internet Assigned Numbers Authority
xn--unup4y,whois.nic.xn--unup4y,generic,游戏,"Binky Moon, LLC"
xn--mix891f,whois.monic.mo,country-code,澳門,Macao Post and Telecommunications Bureau (CTT)
xn--3pxu8k,whois.nic.xn--3pxu8k,generic,点看,VeriSign Sarl
xn--pbt977c,,generic,珠宝,Richemont DNS Inc.
xn--6frz82g,whois.afilias.net,generic,移动,Afilias plc
xn--nqv7fs00ema,whois.nic.xn--nqv7fs00ema,generic,组织机构,Public Interest Registry
xn--ses554g,whois.registry.knet.cn,generic,网址,"KNET Co., Ltd"
xn--hxt814e,whois.nic.xn--hxt814e,generic,网店,Zodiac Taurus Ltd.
xn--5tzm5g,whois.nic.xn--5tzm5g,generic,网站,Global Website TLD Asia Limited
xn--io0a7i,whois.ngtld.cn,generic,网络,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）
xn--8y0a063a,,generic,联通,China United Network Communications Corporation Limited
xn--jlq61u9w7b,whois.nic.xn--jlq61u9w7b,generic,诺基亚,Nokia Corporation
xn--flw351e,whois.nic.google,generic,谷歌,Charleston Road Registry Inc.
xn--g2xx48c,,generic,购物,Minds + Machines Group Limited
xn--gk3at1e,,generic,通販,"Amazon Registry Services, Inc."
xn--3bst00m,whois.gtld.knet.cn,generic,集团,Eagle Horizon Limited
xn--fzys8d69uvgm,whois.nic.xn--fzys8d69uvgm,generic,電訊盈科,PCCW Enterprises Limited
xn--kcrx77d1x4a,whois.nic.xn--kcrx77d1x4a,generic,飞利浦,Koninklijke Philips N.V.
xn--jvr189m,,generic,食品,"Amazon Registry Services, Inc."
xn--imr513n,,generic,餐厅,HU YI GLOBAL INFORMATION RESOURCES (HOLDING) COMPANY. HONGKONG LIMITED
xn--5su34j936bgsg,whois.nic.xn--5su34j936bgsg,generic,香格里拉,Shangri‐La International Hotel Management Limited
xn--j6w193g,whois.hkirc.hk,country-code,香港,Hong Kong Internet Registration Corporation Ltd.
