TLD,WHOIS,TYPE,NATIVE,MANAGER
cx,whois.nic.cx,country-code,cx,Christmas Island Domain Administration Limited
cy,,country-code,cy,University of Cyprus
cymru,whois.nic.cymru,generic,cymru,Nominet UK
cyou,whois.nic.cyou,generic,cyou,"Beijing Gamease Age Digital Technology Co., Ltd."
cz,whois.nic.cz,country-code,cz,"CZ.NIC, z.s.p.o"
dabur,whois.nic.dabur,generic,dabur,Dabur India Limited
dad,whois.nic.dad,generic,dad,Charleston Road Registry Inc.
dance,whois.donuts.co,generic,dance,United TLD Holdco Ltd.
data,whois.nic.data,generic,data,Dish DBS Corporation
date,whois.nic.date,generic,date,dot Date Limited
dating,whois.donuts.co,generic,dating,"Binky Moon, LLC"
datsun,whois.nic.datsun,generic,datsun,"NISSAN MOTOR CO., LTD."
day,whois.nic.day,generic,day,Charleston Road Registry Inc.
dclk,whois.nic.dclk,generic,dclk,Charleston Road Registry Inc.
dds,whois.nic.dds,generic,dds,Minds + Machines Group Limited
de,whois.denic.de,country-code,de,DENIC eG
deal,whois.nic.deal,generic,deal,"Amazon Registry Services, Inc."
dealer,whois.nic.dealer,generic,dealer,"Dealer Dot Com, Inc."
deals,whois.donuts.co,generic,deals,"Binky Moon, LLC"
degree,whois.donuts.co,generic,degree,"United TLD Holdco, Ltd"
delivery,whois.donuts.co,generic,delivery,"Binky Moon, LLC"
dell,whois.nic.dell,generic,dell,Dell Inc.
deloitte,whois.nic.deloitte,generic,deloitte,Deloitte Touche Tohmatsu
delta,whois.nic.delta,generic,delta,"Delta Air Lines, Inc."
democrat,whois.donuts.co,generic,democrat,United TLD Holdco Ltd.
dental,whois.donuts.co,generic,dental,"Binky Moon, LLC"
dentist,whois.donuts.co,generic,dentist,"United TLD Holdco, Ltd"
desi,whois.nic.desi,generic,desi,Desi Networks LLC
design,whois.nic.design,generic,design,"Top Level Design, LLC"
dev,whois.nic.dev,generic,dev,Charleston Road Registry Inc.
dhl,whois.nic.dhl,generic,dhl,Deutsche Post AG
diamonds,whois.donuts.co,generic,diamonds,"Binky Moon, LLC"
diet,whois.nic.diet,generic,diet,"Uniregistry, Corp."
digital,whois.donuts.co,generic,digital,"Binky Moon, LLC"
direct,whois.donuts.co,generic,direct,"Binky Moon, LLC"
directory,whois.donuts.co,generic,directory,"Binky Moon, LLC"
discount,whois.donuts.co,generic,discount,"Binky Moon, LLC"
discover,whois.nic.discover,generic,discover,Discover Financial Services
dish,whois.nic.dish,generic,dish,Dish DBS Corporation
diy,whois.nic.diy,generic,diy,"Lifestyle Domain Holdings, Inc."
dj,,country-code,dj,Djibouti Telecom S.A
dk,whois.dk-hostmaster.dk,country-code,dk,Dansk Internet Forum
dm,whois.nic.dm,country-code,dm,DotDM Corporation
dnp,whois.nic.dnp,generic,dnp,"Dai Nippon Printing Co., Ltd."
do,whois.nic.do,country-code,do,Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino
docs,whois.nic.docs,generic,docs,Charleston Road Registry Inc.
doctor,whois.donuts.co,generic,doctor,"Binky Moon, LLC"
dodge,whois.nic.dodge,generic,dodge,FCA US LLC.
dog,whois.donuts.co,generic,dog,"Binky Moon, LLC"
doha,whois.nic.doha,generic,doha,Communications Regulatory Authority (CRA)
domains,whois.donuts.co,generic,domains,"Binky Moon, LLC"
doosan,,generic,doosan,Retired
dot,whois.nic.dot,generic,dot,Dish DBS Corporation
download,whois.nic.download,generic,download,dot Support Limited
drive,whois.nic.drive,generic,drive,Charleston Road Registry Inc.
dtv,whois.nic.dtv,generic,dtv,Dish DBS Corporation
dubai,whois.nic.dubai,generic,dubai,Dubai Smart Government Department
duck,whois.nic.duck,generic,duck,"Johnson Shareholdings, Inc."
dunlop,whois.nic.dunlop,generic,dunlop,The Goodyear Tire & Rubber Company
duns,whois.nic.duns,generic,duns,The Dun & Bradstreet Corporation
dupont,whois.nic.dupont,generic,dupont,E. I. du Pont de Nemours and Company
durban,whois.nic.durban,generic,durban,ZA Central Registry NPC trading as ZA Central Registry
dvag,whois.nic.dvag,generic,dvag,Deutsche Vermögensberatung Aktiengesellschaft DVAG
dvr,whois.nic.dvr,generic,dvr,Hughes Satellite Systems Corporation
dz,whois.nic.dz,country-code,dz,CERIST
earth,whois.nic.earth,generic,earth,"Interlink Co., Ltd."
eat,whois.nic.eat,generic,eat,Charleston Road Registry Inc.
ec,whois.nic.ec,country-code,ec,ECUADORDOMAIN S.A.
eco,whois.nic.eco,generic,eco,Big Room Inc.
edeka,whois.nic.edeka,generic,edeka,EDEKA Verband kaufmännischer Genossenschaften e.V.
edu,whois.educause.edu,sponsored,edu,EDUCAUSE
education,whois.donuts.co,generic,education,"Binky Moon, LLC"
ee,whois.tld.ee,country-code,ee,Eesti Interneti Sihtasutus (EIS)
eg,,country-code,eg,Egyptian Universities Network (EUN) Supreme Council of Universities
eh,,country-code,eh,Not assigned
email,whois.donuts.co,generic,email,"Binky Moon, LLC"
emerck,whois.nic.emerck,generic,emerck,Merck KGaA
energy,whois.donuts.co,generic,energy,"Binky Moon, LLC"
engineer,whois.donuts.co,generic,engineer,United TLD Holdco Ltd.
engineering,whois.donuts.co,generic,engineering,"Binky Moon, LLC"
enterprises,whois.donuts.co,generic,enterprises,"Binky Moon, LLC"
epost,whois.nic.epost,generic,epost,Deutsche Post AG
epson,whois.nic.epson,generic,epson,Seiko Epson Corporation
equipment,whois.donuts.co,generic,equipment,"Binky Moon, LLC"
er,,country-code,er,Eritrea Telecommunication Services Corporation (EriTel)
ericsson,whois.nic.ericsson,generic,ericsson,Telefonaktiebolaget L M Ericsson
erni,whois.nic.erni,generic,erni,ERNI Group Holding AG
es,whois.nic.es,country-code,es,Red.es
esq,whois.nic.esq,generic,esq,Charleston Road Registry Inc.
estate,whois.donuts.co,generic,estate,"Binky Moon, LLC"
esurance,whois.nic.esurance,generic,esurance,Esurance Insurance Company
et,,country-code,et,Ethio telecom
etisalat,whois.nic.etisalat,generic,etisalat,Emirates Telecommunications Corporation (trading as Etisalat)
eu,whois.eu,country-code,eu,EURid vzw/asbl
eurovision,whois.nic.eurovision,generic,eurovision,European Broadcasting Union (EBU)
eus,whois.nic.eus,generic,eus,Puntueus Fundazioa
events,whois.donuts.co,generic,events,"Binky Moon, LLC"
everbank,whois.nic.everbank,generic,everbank,EverBank
exchange,whois.donuts.co,generic,exchange,"Binky Moon, LLC"
expert,whois.donuts.co,generic,expert,"Binky Moon, LLC"
